,lane,x,y,yaw,width
44,1,373.58892822265625,2.0141561031341553,0.03045654296875,4.0
45,-1,372.591064453125,-1.9863746166229248,-179.96954345703125,4.0
46,1,372.58892822265625,2.013624906539917,0.03045654296875,4.0
47,-1,371.591064453125,-1.986905813217163,-179.96954345703125,4.0
48,1,371.58892822265625,2.0130937099456787,0.03045654296875,4.0
49,-1,370.591064453125,-1.987437129020691,-179.96954345703125,4.0
50,1,370.58892822265625,2.0125625133514404,0.03045654296875,4.0
51,-1,369.591064453125,-1.9879683256149292,-179.96954345703125,4.0
52,1,369.58892822265625,2.012031316757202,0.03045654296875,4.0
53,-1,368.591064453125,-1.9884995222091675,-179.96954345703125,4.0
54,1,368.58892822265625,2.0114998817443848,0.03045654296875,4.0
55,-1,367.591064453125,-1.9890308380126953,-179.96954345703125,4.0
56,1,367.58892822265625,2.0109686851501465,0.03045654296875,4.0
57,-1,366.591064453125,-1.9895620346069336,-179.96954345703125,4.0
58,1,366.58892822265625,2.010437488555908,0.03045654296875,4.0
59,-1,365.591064453125,-1.9900932312011719,-179.96954345703125,4.0
60,1,365.58892822265625,2.00990629196167,0.03045654296875,4.0
61,-1,364.591064453125,-1.9906245470046997,-179.96954345703125,4.0
62,1,364.58892822265625,2.0093750953674316,0.03045654296875,4.0
63,-1,363.591064453125,-1.991155743598938,-179.96954345703125,4.0
64,1,363.58892822265625,2.0088438987731934,0.03045654296875,4.0
65,-1,362.591064453125,-1.9916869401931763,-179.96954345703125,4.0
66,1,362.58892822265625,2.008312463760376,0.03045654296875,4.0
67,-1,361.591064453125,-1.992218255996704,-179.96954345703125,4.0
68,1,361.58892822265625,2.0077812671661377,0.03045654296875,4.0
69,-1,360.591064453125,-1.9927494525909424,-179.96954345703125,4.0
70,1,360.58892822265625,2.0072500705718994,0.03045654296875,4.0
71,-1,359.591064453125,-1.9932806491851807,-179.96954345703125,4.0
72,1,359.58892822265625,2.006718873977661,0.03045654296875,4.0
73,-1,358.591064453125,-1.9938119649887085,-179.96954345703125,4.0
74,1,358.58892822265625,2.006187677383423,0.03045654296875,4.0
75,-1,357.591064453125,-1.9943431615829468,-179.96954345703125,4.0
76,1,357.58892822265625,2.0056564807891846,0.03045654296875,4.0
77,-1,356.591064453125,-1.994874358177185,-179.96954345703125,4.0
78,1,356.58892822265625,2.005125045776367,0.03045654296875,4.0
79,-1,355.591064453125,-1.995405673980713,-179.96954345703125,4.0
80,1,355.58892822265625,2.004593849182129,0.03045654296875,4.0
81,-1,354.591064453125,-1.9959368705749512,-179.96954345703125,4.0
82,1,354.58892822265625,2.0040626525878906,0.03045654296875,4.0
83,-1,353.591064453125,-1.9964680671691895,-179.96954345703125,4.0
84,1,353.58892822265625,2.0035314559936523,0.03045654296875,4.0
85,-1,352.591064453125,-1.9969993829727173,-179.96954345703125,4.0
86,1,352.58892822265625,2.003000259399414,0.03045654296875,4.0
87,-1,351.591064453125,-1.9975305795669556,-179.96954345703125,4.0
88,1,351.58892822265625,2.002469062805176,0.03045654296875,4.0
89,-1,350.591064453125,-1.9980617761611938,-179.96954345703125,4.0
90,1,350.58892822265625,2.0019376277923584,0.03045654296875,4.0
91,-1,349.591064453125,-1.9985930919647217,-179.96954345703125,4.0
92,1,349.58892822265625,2.00140643119812,0.03045654296875,4.0
93,-1,348.591064453125,-1.99912428855896,-179.96954345703125,4.0
94,1,348.58892822265625,2.000875234603882,0.03045654296875,4.0
95,-1,325.6310729980469,-2.011321544647217,-179.96954345703125,4.0
96,1,325.6289367675781,1.9886780977249146,0.03045654296875,4.0
97,-1,324.6310729980469,-2.011852741241455,-179.96954345703125,4.0
98,1,324.6289367675781,1.9881467819213867,0.03045654296875,4.0
99,-1,323.6310729980469,-2.0123839378356934,-179.96954345703125,4.0
