,lane,x,y,yaw,width
102,2,124.65635681152344,-194.37156677246094,1.4395599365234375,3.5
103,3,124.56842803955078,-190.87266540527344,1.4395599365234375,3.5
104,-2,123.92044830322266,-204.8933563232422,-178.56044006347656,3.5
105,-1,123.83251953125,-201.39447021484375,-178.56044006347656,3.5
106,2,123.65666961669922,-194.3966827392578,1.4395599365234375,3.5
107,3,123.56874084472656,-190.8977813720703,1.4395599365234375,3.5
108,-2,122.92076110839844,-204.91847229003906,-178.56044006347656,3.5
109,-1,122.83283233642578,-201.41958618164062,-178.56044006347656,3.5
110,2,122.656982421875,-194.4217987060547,1.4395599365234375,3.5
111,3,122.56905364990234,-190.9228973388672,1.4395599365234375,3.5
112,-2,121.92108154296875,-204.943603515625,-178.56044006347656,3.5
113,-1,121.8331527709961,-201.44471740722656,-178.56044006347656,3.5
114,2,121.65730285644531,-194.44692993164062,1.4395599365234375,3.5
115,3,121.56937408447266,-190.94802856445312,1.4395599365234375,3.5
116,-2,120.92139434814453,-204.96871948242188,-178.56044006347656,3.5
117,-1,120.83346557617188,-201.46983337402344,-178.56044006347656,3.5
118,2,120.6576156616211,-194.4720458984375,1.4395599365234375,3.5
119,3,120.56968688964844,-190.97314453125,1.4395599365234375,3.5
120,-2,119.92171478271484,-204.9938507080078,-178.56044006347656,3.5
121,-1,119.83378601074219,-201.49496459960938,-178.56044006347656,3.5
122,2,119.6579360961914,-194.49717712402344,1.4395599365234375,3.5
123,3,119.57000732421875,-190.99827575683594,1.4395599365234375,3.5
124,-2,118.92202758789062,-205.0189666748047,-178.56044006347656,3.5
125,-1,118.83409881591797,-201.52008056640625,-178.56044006347656,3.5
126,2,118.65824890136719,-194.5222930908203,1.4395599365234375,3.5
127,3,118.57032012939453,-191.0233917236328,1.4395599365234375,3.5
128,-2,117.92234802246094,-205.04408264160156,-178.56044006347656,3.5
129,-1,117.83441925048828,-201.54519653320312,-178.56044006347656,3.5
130,2,117.6585693359375,-194.5474090576172,1.4395599365234375,3.5
131,3,117.57064056396484,-191.0485076904297,1.4395599365234375,3.5
132,-2,116.92266082763672,-205.0692138671875,-178.56044006347656,3.5
133,-1,116.83473205566406,-201.57032775878906,-178.56044006347656,3.5
134,2,116.65888214111328,-194.57254028320312,1.4395599365234375,3.5
135,3,116.57095336914062,-191.07363891601562,1.4395599365234375,3.5
136,-2,115.9229736328125,-205.09432983398438,-178.56044006347656,3.5
137,-1,115.83504486083984,-201.59544372558594,-178.56044006347656,3.5
138,2,115.65919494628906,-194.59765625,1.4395599365234375,3.5
139,3,115.5712661743164,-191.0987548828125,1.4395599365234375,3.5
140,-2,114.92329406738281,-205.1194610595703,-178.56044006347656,3.5
141,-1,114.83536529541016,-201.62057495117188,-178.56044006347656,3.5
142,2,114.65951538085938,-194.62278747558594,1.4395599365234375,3.5
143,3,114.57158660888672,-191.12388610839844,1.4395599365234375,3.5
144,-2,113.9236068725586,-205.1445770263672,-178.56044006347656,3.5
145,-1,113.83567810058594,-201.64569091796875,-178.56044006347656,3.5
146,2,113.65982818603516,-194.6479034423828,1.4395599365234375,3.5
147,3,113.5718994140625,-191.1490020751953,1.4395599365234375,3.5
148,-2,112.92391967773438,-205.16969299316406,-178.56044006347656,3.5
149,-1,112.83599090576172,-201.67080688476562,-178.56044006347656,3.5
150,2,112.66014099121094,-194.6730194091797,1.4395599365234375,3.5
151,3,112.57221221923828,-191.1741180419922,1.4395599365234375,3.5
152,-2,111.92424011230469,-205.19482421875,-178.56044006347656,3.5
153,-1,111.83631134033203,-201.69593811035156,-178.56044006347656,3.5
154,2,111.66046142578125,-194.69815063476562,1.4395599365234375,3.5
155,3,111.5725326538086,-191.19924926757812,1.4395599365234375,3.5
156,-2,110.92455291748047,-205.21994018554688,-178.56044006347656,3.5
157,-1,110.83662414550781,-201.72105407714844,-178.56044006347656,3.5
158,2,110.66077423095703,-194.7232666015625,1.4395599365234375,3.5
159,3,110.57284545898438,-191.224365234375,1.4395599365234375,3.5
160,-2,109.92486572265625,-205.2450714111328,-178.56044006347656,3.5
161,-1,109.8369369506836,-201.74618530273438,-178.56044006347656,3.5
162,2,109.66108703613281,-194.74839782714844,1.4395599365234375,3.5
163,3,109.57315826416016,-191.24949645996094,1.4395599365234375,3.5
164,-2,108.92518615722656,-205.2701873779297,-178.56044006347656,3.5
165,-1,108.8372573852539,-201.77130126953125,-178.56044006347656,3.5
166,2,108.66140747070312,-194.7735137939453,1.4395599365234375,3.5
167,3,108.57347869873047,-191.2746124267578,1.4395599365234375,3.5
168,-2,107.92549896240234,-205.29530334472656,-178.56044006347656,3.5
169,-1,107.83757019042969,-201.79641723632812,-178.56044006347656,3.5
170,2,107.6617202758789,-194.7986297607422,1.4395599365234375,3.5
171,3,107.57379150390625,-191.2997283935547,1.4395599365234375,3.5
172,-2,106.92581176757812,-205.3204345703125,-178.56044006347656,3.5
173,-1,106.83788299560547,-201.82154846191406,-178.56044006347656,3.5
174,2,106.66203308105469,-194.82376098632812,1.4395599365234375,3.5
175,3,106.57410430908203,-191.32485961914062,1.4395599365234375,3.5
176,-2,105.92613220214844,-205.34555053710938,-178.56044006347656,3.5
177,-1,105.83820343017578,-201.84666442871094,-178.56044006347656,3.5
178,2,105.662353515625,-194.848876953125,1.4395599365234375,3.5
179,3,105.57442474365234,-191.3499755859375,1.4395599365234375,3.5
180,-2,104.92644500732422,-205.3706817626953,-178.56044006347656,3.5
181,-1,104.83851623535156,-201.87179565429688,-178.56044006347656,3.5
182,2,104.66266632080078,-194.87400817871094,1.4395599365234375,3.5
183,3,104.57473754882812,-191.37510681152344,1.4395599365234375,3.5
184,-2,103.9267578125,-205.3957977294922,-178.56044006347656,3.5
185,-1,103.83882904052734,-201.89691162109375,-178.56044006347656,3.5
186,2,103.66297912597656,-194.8991241455078,1.4395599365234375,3.5
187,3,103.5750503540039,-191.4002227783203,1.4395599365234375,3.5
188,-2,102.92707824707031,-205.42092895507812,-178.56044006347656,3.5
189,-1,102.83914947509766,-201.9220428466797,-178.56044006347656,3.5
190,2,102.66329956054688,-194.92425537109375,1.4395599365234375,3.5
191,3,102.57537078857422,-191.42535400390625,1.4395599365234375,3.5
192,-2,101.92739868164062,-205.446044921875,-178.56044006347656,3.5
193,-1,101.83946990966797,-201.94715881347656,-178.56044006347656,3.5
194,2,101.66361999511719,-194.94937133789062,1.4395599365234375,3.5
195,3,101.57569122314453,-191.45046997070312,1.4395599365234375,3.5
196,-2,100.92770385742188,-205.47116088867188,-178.56044006347656,3.5
197,-1,100.83977508544922,-201.97227478027344,-178.56044006347656,3.5
198,2,100.66392517089844,-194.9744873046875,1.4395599365234375,3.5
199,3,100.57599639892578,-191.4755859375,1.4395599365234375,3.5
200,-2,99.92802429199219,-205.4962921142578,-178.56044006347656,3.5
201,-1,99.84009552001953,-201.99740600585938,-178.56044006347656,3.5
202,2,99.66424560546875,-194.99961853027344,1.4395599365234375,3.5
203,3,99.5763168334961,-191.50071716308594,1.4395599365234375,3.5
204,-2,98.9283447265625,-205.5214080810547,-178.56044006347656,3.5
205,-1,98.84041595458984,-202.02252197265625,-178.56044006347656,3.5
206,2,98.66456604003906,-195.0247344970703,1.4395599365234375,3.5
207,3,98.5766372680664,-191.5258331298828,1.4395599365234375,3.5
208,-2,97.92865753173828,-205.54653930664062,-178.56044006347656,3.5
209,-1,97.84072875976562,-202.0476531982422,-178.56044006347656,3.5
210,2,97.66487884521484,-195.04986572265625,1.4395599365234375,3.5
211,3,97.57695007324219,-191.55096435546875,1.4395599365234375,3.5
212,-2,71.7968978881836,-206.20323181152344,-178.56044006347656,3.5
213,-1,71.70896911621094,-202.704345703125,-178.56044006347656,3.5
214,2,71.53311920166016,-195.70655822753906,1.4395599365234375,3.5
215,3,71.4451904296875,-192.20765686035156,1.4395599365234375,3.5
216,-2,70.79721069335938,-206.2283477783203,-178.56044006347656,3.5
217,-1,70.70928192138672,-202.72946166992188,-178.56044006347656,3.5
218,2,70.53343200683594,-195.73167419433594,1.4395599365234375,3.5
219,3,70.44550323486328,-192.23277282714844,1.4395599365234375,3.5
220,-2,69.79753112792969,-206.25347900390625,-178.56044006347656,3.5
221,-1,69.70960235595703,-202.7545928955078,-178.56044006347656,3.5
222,2,69.53375244140625,-195.75680541992188,1.4395599365234375,3.5
223,3,69.4458236694336,-192.25790405273438,1.4395599365234375,3.5
224,-2,68.79784393310547,-206.27859497070312,-178.56044006347656,3.5
225,-1,68.70991516113281,-202.7797088623047,-178.56044006347656,3.5
226,2,68.53406524658203,-195.78192138671875,1.4395599365234375,3.5
